,EASTERN REGION,,,,METROPOLITAN NORTH WEST REGION,,,,METROPOLITAN SOUTH EAST REGION,,,,NORTH EASTERN REGION,,,,NORTHERN REGION,,,,SOUTH WESTERN REGION,,,,WESTERN REGION,,,
DATE,FATAL,SERIOUS,NOINJURY,OTHER,FATAL,SERIOUS,NOINJURY,OTHER,FATAL,SERIOUS,NOINJURY,OTHER,FATAL,SERIOUS,NOINJURY,OTHER,FATAL,SERIOUS,NOINJURY,OTHER,FATAL,SERIOUS,NOINJURY,OTHER,FATAL,SERIOUS,NOINJURY,OTHER
18/03/2016,0,0,0,5,0,8,0,12,0,10,0,20,1,0,0,3,0,1,0,2,0,2,0,2,0,1,0,3
19/03/2016,0,0,0,0,0,6,0,8,1,4,0,8,0,1,0,4,0,1,0,1,0,3,0,2,0,1,0,1
20/03/2016,0,2,0,3,0,5,0,10,0,4,0,10,0,6,0,1,0,2,0,6,0,1,0,1,0,0,0,1
21/03/2016,0,2,0,2,0,7,0,10,0,8,0,17,1,1,0,0,0,0,0,4,1,1,0,1,0,0,0,2
22/03/2016,0,0,0,5,0,7,0,14,0,5,0,13,0,3,0,1,0,0,0,6,0,0,0,1,0,2,0,3
23/03/2016,0,1,0,1,0,4,0,9,0,7,0,11,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,2
24/03/2016,0,0,0,1,0,7,0,6,1,5,0,13,0,1,0,0,0,0,0,0,0,2,0,3,0,1,0,0
25/03/2016,0,5,0,2,0,5,0,7,0,6,0,8,0,1,0,7,0,1,0,4,0,2,0,2,0,1,0,1
26/03/2016,0,3,0,7,0,4,0,6,0,4,0,6,0,3,0,7,0,1,0,5,1,1,0,1,0,2,0,3
27/03/2016,0,0,0,2,0,4,0,4,0,6,0,3,0,8,0,0,0,6,0,4,0,1,0,1,0,0,0,4
28/03/2016,0,1,0,0,0,4,0,3,0,5,0,4,0,2,0,1,0,1,0,2,0,0,0,1,0,0,0,1
29/03/2016,0,0,0,2,0,3,0,8,1,8,0,8,0,1,0,4,0,1,0,1,0,4,0,0,0,1,0,3
30/03/2016,1,1,0,2,0,4,0,14,0,4,0,13,0,0,0,0,0,0,0,1,0,0,0,4,0,1,0,1
31/03/2016,0,1,0,0,0,11,0,10,0,6,0,10,0,1,0,2,0,1,0,1,0,0,0,1,0,0,0,0
1/04/2016,0,1,0,0,0,4,0,13,0,8,0,8,0,0,0,1,0,0,0,4,0,2,0,3,0,2,0,2
2/04/2016,0,0,0,2,0,5,0,9,0,8,0,7,0,1,0,0,0,2,0,1,0,1,0,2,0,0,0,3
3/04/2016,0,2,0,3,0,6,0,9,0,4,0,10,0,7,0,1,0,1,0,2,0,1,0,0,0,0,0,1
4/04/2016,0,1,0,0,0,2,0,13,0,8,0,12,0,2,0,3,0,1,0,2,0,3,0,2,0,1,0,1
5/04/2016,0,2,0,1,0,5,0,9,0,9,0,10,0,0,0,0,0,3,0,1,0,1,0,1,0,1,0,0
6/04/2016,0,0,0,3,0,5,0,17,0,14,0,12,0,0,0,2,0,1,0,2,0,2,0,0,0,2,0,2
7/04/2016,0,1,0,3,0,4,0,12,0,5,0,13,0,2,0,1,0,1,0,3,0,1,0,1,0,0,0,5
8/04/2016,0,1,0,1,0,7,0,14,1,9,0,8,0,2,0,2,0,1,0,3,0,3,0,0,0,0,0,3
9/04/2016,0,3,0,2,0,3,0,11,0,10,0,11,0,2,0,1,0,0,0,1,0,2,0,0,0,0,0,3
10/04/2016,0,0,0,0,0,9,0,8,0,6,0,7,0,3,0,4,0,2,0,3,0,1,0,2,0,4,0,3
11/04/2016,0,0,0,1,0,2,0,15,0,6,0,9,0,2,0,3,0,1,0,1,0,0,0,4,0,0,0,1
12/04/2016,0,0,0,1,0,5,0,18,1,8,0,9,0,1,0,2,0,1,0,0,0,3,0,1,0,2,0,2
13/04/2016,0,0,0,0,0,10,0,13,0,6,0,7,0,0,0,0,0,2,0,0,1,1,0,1,0,0,0,0
