date,datatype,station,attributes,value
2016-03-15T00:00:00,TMAX,GHCND:ASN00085279,",,a,",20.4
2016-03-15T00:00:00,TMIN,GHCND:ASN00085279,",,a,",16.1
2016-03-16T00:00:00,PRCP,GHCND:ASN00085279,",,a,",4.4
2016-03-16T00:00:00,TMAX,GHCND:ASN00085279,",,a,",24.9
2016-03-16T00:00:00,TMIN,GHCND:ASN00085279,",,a,",16.2
2016-03-17T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0
2016-03-17T00:00:00,TMAX,GHCND:ASN00085279,",,a,",29.1
2016-03-17T00:00:00,TMIN,GHCND:ASN00085279,",,a,",12.6
2016-03-18T00:00:00,PRCP,GHCND:ASN00085279,",,a,",4
2016-03-18T00:00:00,TMAX,GHCND:ASN00085279,",,a,",20.7
2016-03-18T00:00:00,TMIN,GHCND:ASN00085279,",,a,",18.2
2016-03-19T00:00:00,PRCP,GHCND:ASN00085279,",,a,",20.4
2016-03-19T00:00:00,TMAX,GHCND:ASN00085279,",,a,",18
2016-03-19T00:00:00,TMIN,GHCND:ASN00085279,",,a,",11
2016-03-20T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0
2016-03-20T00:00:00,TMAX,GHCND:ASN00085279,",,a,",18.6
2016-03-20T00:00:00,TMIN,GHCND:ASN00085279,",,a,",8.8
2016-03-21T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0.4
2016-03-21T00:00:00,TMAX,GHCND:ASN00085279,",,a,",19.3
2016-03-21T00:00:00,TMIN,GHCND:ASN00085279,",,a,",9.5
2016-03-22T00:00:00,PRCP,GHCND:ASN00085279,",,a,",1.8
2016-03-22T00:00:00,TMAX,GHCND:ASN00085279,",,a,",21.5
2016-03-22T00:00:00,TMIN,GHCND:ASN00085279,",,a,",11.3
2016-03-23T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0
2016-03-23T00:00:00,TMAX,GHCND:ASN00085279,",,a,",27.6
2016-03-23T00:00:00,TMIN,GHCND:ASN00085279,",,a,",7.8
2016-03-24T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0.4
2016-03-24T00:00:00,TMAX,GHCND:ASN00085279,",,a,",20.1
2016-03-24T00:00:00,TMIN,GHCND:ASN00085279,",,a,",13.5
2016-03-25T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0
2016-03-25T00:00:00,TMAX,GHCND:ASN00085279,",,a,",21.5
2016-03-25T00:00:00,TMIN,GHCND:ASN00085279,",,a,",15.2
2016-03-26T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0
2016-03-26T00:00:00,TMAX,GHCND:ASN00085279,",,a,",23
2016-03-26T00:00:00,TMIN,GHCND:ASN00085279,",,a,",9.9
2016-03-27T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0
2016-03-27T00:00:00,TMAX,GHCND:ASN00085279,",,a,",18.3
2016-03-27T00:00:00,TMIN,GHCND:ASN00085279,",,a,",13.6
2016-03-28T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0
2016-03-28T00:00:00,TMAX,GHCND:ASN00085279,",,a,",16.9
2016-03-28T00:00:00,TMIN,GHCND:ASN00085279,",,a,",13.1
2016-03-29T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0
2016-03-29T00:00:00,TMAX,GHCND:ASN00085279,",,a,",15.6
2016-03-29T00:00:00,TMIN,GHCND:ASN00085279,",,a,",13.2
2016-03-30T00:00:00,PRCP,GHCND:ASN00085279,",,a,",4.6
2016-03-30T00:00:00,TMAX,GHCND:ASN00085279,",,a,",14.8
2016-03-30T00:00:00,TMIN,GHCND:ASN00085279,",,a,",12.6
2016-03-31T00:00:00,PRCP,GHCND:ASN00085279,",,a,",4.2
2016-03-31T00:00:00,TMAX,GHCND:ASN00085279,",,a,",22.2
2016-03-31T00:00:00,TMIN,GHCND:ASN00085279,",,a,",12
2016-04-01T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0
2016-04-01T00:00:00,TMAX,GHCND:ASN00085279,",,a,",26.1
2016-04-01T00:00:00,TMIN,GHCND:ASN00085279,",,a,",9
2016-04-02T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0
2016-04-02T00:00:00,TMAX,GHCND:ASN00085279,",,a,",23.3
2016-04-02T00:00:00,TMIN,GHCND:ASN00085279,",,a,",14.1
2016-04-03T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0
2016-04-03T00:00:00,TMAX,GHCND:ASN00085279,",,a,",20
2016-04-03T00:00:00,TMIN,GHCND:ASN00085279,",,a,",7.8
2016-04-04T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0
2016-04-04T00:00:00,TMAX,GHCND:ASN00085279,",,a,",19.9
2016-04-04T00:00:00,TMIN,GHCND:ASN00085279,",,a,",4.8
2016-04-05T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0
2016-04-05T00:00:00,TMAX,GHCND:ASN00085279,",,a,",29.9
2016-04-05T00:00:00,TMIN,GHCND:ASN00085279,",,a,",7.1
2016-04-06T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0
2016-04-06T00:00:00,TMAX,GHCND:ASN00085279,",,a,",18.4
2016-04-06T00:00:00,TMIN,GHCND:ASN00085279,",,a,",10.9
2016-04-07T00:00:00,PRCP,GHCND:ASN00085279,",,a,",11.4
2016-04-07T00:00:00,TMAX,GHCND:ASN00085279,",,a,",19.8
2016-04-07T00:00:00,TMIN,GHCND:ASN00085279,",,a,",7.5
2016-04-08T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0
2016-04-08T00:00:00,TMAX,GHCND:ASN00085279,",,a,",20.3
2016-04-08T00:00:00,TMIN,GHCND:ASN00085279,",,a,",7.7
2016-04-09T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0
2016-04-09T00:00:00,TMAX,GHCND:ASN00085279,",,a,",21.7
2016-04-09T00:00:00,TMIN,GHCND:ASN00085279,",,a,",7.4
2016-04-10T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0
2016-04-10T00:00:00,TMAX,GHCND:ASN00085279,",,a,",23.9
2016-04-10T00:00:00,TMIN,GHCND:ASN00085279,",,a,",9.2
2016-04-11T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0
2016-04-11T00:00:00,TMAX,GHCND:ASN00085279,",,a,",21.6
2016-04-11T00:00:00,TMIN,GHCND:ASN00085279,",,a,",10.9
2016-04-12T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0
2016-04-12T00:00:00,TMAX,GHCND:ASN00085279,",,a,",19.7
2016-04-12T00:00:00,TMIN,GHCND:ASN00085279,",,a,",10.2
2016-04-13T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0
2016-04-13T00:00:00,TMAX,GHCND:ASN00085279,",,a,",19.7
2016-04-13T00:00:00,TMIN,GHCND:ASN00085279,",,a,",8.2
2016-04-14T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0
2016-04-14T00:00:00,TMAX,GHCND:ASN00085279,",,a,",25.6
2016-04-14T00:00:00,TMIN,GHCND:ASN00085279,",,a,",9
2016-04-15T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0
2016-04-15T00:00:00,TMAX,GHCND:ASN00085279,",,a,",25
2016-04-15T00:00:00,TMIN,GHCND:ASN00085279,",,a,",9.7
2016-04-16T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0
2016-04-16T00:00:00,TMAX,GHCND:ASN00085279,",,a,",20.2
2016-04-16T00:00:00,TMIN,GHCND:ASN00085279,",,a,",9.5
2016-04-17T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0.2
2016-04-17T00:00:00,TMAX,GHCND:ASN00085279,",,a,",18.5
2016-04-17T00:00:00,TMIN,GHCND:ASN00085279,",,a,",11.7
2016-04-18T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0
2016-04-18T00:00:00,TMAX,GHCND:ASN00085279,",,a,",23.2
2016-04-18T00:00:00,TMIN,GHCND:ASN00085279,",,a,",5.6
2016-04-19T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0.2
2016-04-19T00:00:00,TMAX,GHCND:ASN00085279,",,a,",27.2
2016-04-19T00:00:00,TMIN,GHCND:ASN00085279,",,a,",9.6
2016-04-20T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0
